,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
Zero,https://hltv.org/stats/players/8413/Zero?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.07,0.98,1.0,0.97,1.04,1.07,72.7,0.68,0.63,0.11,0.94,73.4,2.9,51.0,1228.0,572.0,66.0,0.89,0.9,70.0,10.6,835.0,769.0,0.0
pashaBiceps,https://hltv.org/stats/players/317/pashaBiceps?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.94,1.03,1.05,1.05,1.05,75.6,0.72,0.69,0.11,1.15,68.0,4.3,32.5,3012.0,1433.0,86.0,1.05,1.09,76.8,18.8,2156.0,2070.0,0.0
BLUEE,https://hltv.org/stats/players/10458/BLUEE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.0,0.0,0.0,0.0,0.93,74.0,0.68,0.66,0.14,0.95,73.9,5.2,42.1,1259.0,604.0,19.0,1.25,0.96,79.0,11.3,853.0,834.0,0.0
HS,https://hltv.org/stats/players/8994/HS?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.94,1.01,1.01,1.05,1.06,76.0,0.7,0.7,0.13,1.11,69.4,3.1,47.7,1660.0,767.0,11.0,0.94,1.0,68.8,14.2,1170.0,1159.0,0.0
fitch,https://hltv.org/stats/players/10052/fitch?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.99,0.94,0.95,0.95,0.99,77.8,0.71,0.71,0.14,1.14,68.3,4.5,50.9,2139.0,1028.0,-1.0,1.09,1.08,68.6,15.9,1524.0,1525.0,0.0
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.91,0.86,0.87,0.92,0.97,75.6,0.69,0.68,0.12,1.05,70.7,2.7,45.9,2854.0,1361.0,26.0,0.98,1.03,72.6,15.2,1976.0,1950.0,0.0
ap0c,https://hltv.org/stats/players/2007/ap0c?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.0,0.0,0.0,0.83,0.91,77.8,0.72,0.7,0.14,1.1,68.9,5.1,52.3,1409.0,673.0,18.0,0.97,0.99,74.8,14.6,1008.0,990.0,0.0
snatchie,https://hltv.org/stats/players/9574/snatchie?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,0.0,0.0,0.89,0.88,1.0,74.7,0.73,0.71,0.09,1.15,67.9,1.5,31.3,1022.0,484.0,27.0,1.05,1.1,79.4,18.7,748.0,721.0,0.0
niko,https://hltv.org/stats/players/10264/niko?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,1.0,0.98,1.01,1.02,1.05,73.8,0.68,0.64,0.11,0.96,72.6,2.7,47.2,1736.0,822.0,75.0,1.01,0.95,75.8,12.9,1186.0,1111.0,0.0
MAJ3R,https://hltv.org/stats/players/150/MAJ3R?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.06,1.03,0.74,0.98,0.98,1.02,74.4,0.66,0.65,0.13,1.03,70.8,3.4,52.5,1636.0,744.0,29.0,0.94,1.0,78.7,14.2,1086.0,1057.0,0.0
