,Webpage
jR,https://hltv.org/stats/players/8786/jR?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
veta,https://hltv.org/stats/players/9304/veta?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
xiaosaGe,https://hltv.org/stats/players/11574/xiaosaGe?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
chrisJ,https://hltv.org/stats/players/2730/chrisJ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
RCF,https://hltv.org/stats/players/11337/RCF?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
friberg,https://hltv.org/stats/players/7148/friberg?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
qikert,https://hltv.org/stats/players/13239/qikert?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Skadoodle,https://hltv.org/stats/players/7440/Skadoodle?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
stavn,https://hltv.org/stats/players/10994/stavn?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
refrezh,https://hltv.org/stats/players/10610/refrezh?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
pashaBiceps,https://hltv.org/stats/players/317/pashaBiceps?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
gade,https://hltv.org/stats/players/8875/gade?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Bubzkji,https://hltv.org/stats/players/9612/Bubzkji?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
AcilioN,https://hltv.org/stats/players/8151/AcilioN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
ANDROID,https://hltv.org/stats/players/9043/ANDROID?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
MODDII,https://hltv.org/stats/players/545/MODDII?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
dobu,https://hltv.org/stats/players/9521/dobu?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Subroza,https://hltv.org/stats/players/11231/Subroza?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
TOAO,https://hltv.org/stats/players/11278/TOAO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
GeT_RiGhT,https://hltv.org/stats/players/39/GeT_RiGhT?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
dephh,https://hltv.org/stats/players/7873/dephh?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
FugLy,https://hltv.org/stats/players/8522/FugLy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
boltz,https://hltv.org/stats/players/8568/boltz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
